team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
AUS,PJ Cummins (AUS),bowl,42,32,2.0,0.047619048,0.761904762,v Sri Lanka,Lucknow,2023-10-16,7.0,0.0,4.57,1,,,,,
PAK,Hasan Ali (PAK),bowl,42,33,2.0,0.047619048,0.785714286,v Netherlands,Hyderabad,2023-10-06,7.0,1.0,4.71,2,,,,,
ENG,CR Woakes (ENG),bowl,54,33,2.0,0.037037037,0.611111111,v India,Lucknow,2023-10-29,9.0,1.0,3.66,1,,,,,
BAN,Shoriful Islam (BAN),bowl,38,34,2.0,0.052631579,0.894736842,v Afghanistan,Dharamsala,2023-10-07,6.2,1.0,5.36,1,,,,,
AUS,GJ Maxwell (AUS),bowl,60,34,2.0,0.033333333,0.566666667,v South Africa,Lucknow,2023-10-12,10.0,1.0,3.4,1,,,,,
IND,HH Pandya (IND),bowl,36,34,2.0,0.055555556,0.944444444,v Pakistan,Ahmedabad,2023-10-14,6.0,0.0,5.66,1,,,,,
NED,RE van der Merwe (NED),bowl,54,34,2.0,0.037037037,0.62962963,v South Africa,Dharamsala,2023-10-17,9.0,0.0,3.77,2,,,,,
IND,JJ Bumrah (IND),bowl,60,35,2.0,0.033333333,0.583333333,v Australia,Chennai,2023-10-08,10.0,0.0,3.5,1,,,,,
IND,Kuldeep Yadav (IND),bowl,60,35,2.0,0.033333333,0.583333333,v Pakistan,Ahmedabad,2023-10-14,10.0,0.0,3.5,1,,,,,
SA,M Jansen (SA),bowl,30,35,2.0,0.066666667,1.166666667,v England,Wankhede,2023-10-21,5.0,0.0,7.0,2,,,,,
IND,Mohammed Shami (IND),bowl,30,18,5.0,0.166666667,0.6,v Sri Lanka,Wankhede,2023-11-02,5.0,1.0,3.6,2,,,,,
IND,RA Jadeja (IND),bowl,54,33,5.0,0.092592593,0.611111111,v South Africa,Eden Gardens,2023-11-05,9.0,1.0,3.66,2,,,,,
PAK,Shaheen Shah Afridi (PAK),bowl,60,54,5.0,0.083333333,0.9,v Australia,Bengaluru,2023-10-20,10.0,1.0,5.4,1,,,,,
IND,Mohammed Shami (IND),bowl,60,54,5.0,0.083333333,0.9,v New Zealand,Dharamsala,2023-10-22,10.0,0.0,5.4,1,,,,,
NZ,MJ Santner (NZ),bowl,60,59,5.0,0.083333333,0.983333333,v Netherlands,Hyderabad,2023-10-09,10.0,0.0,5.9,2,,,,,
SL,D Madushanka (SL),bowl,60,80,5.0,0.083333333,1.333333333,v India,Wankhede,2023-11-02,10.0,0.0,8.0,1,,,,,
AUS,A Zampa (AUS),bowl,18,8,4.0,0.222222222,0.444444444,v Netherlands,Delhi,2023-10-25,3.0,0.0,2.66,2,,,,,
IND,Mohammed Shami (IND),bowl,42,22,4.0,0.095238095,0.523809524,v England,Lucknow,2023-10-29,7.0,2.0,3.14,2,,,,,
NED,PA van Meekeren (NED),bowl,44,23,4.0,0.090909091,0.522727273,v Bangladesh,Eden Gardens,2023-10-28,7.2,0.0,3.13,2,,,,,
AFG,Fazalhaq Farooqi (AFG),bowl,60,34,4.0,0.066666667,0.566666667,v Sri Lanka,Pune,2023-10-30,10.0,1.0,3.4,1,,,,,
IND,JJ Bumrah (IND),bowl,60,39,4.0,0.066666667,0.65,v Afghanistan,Delhi,2023-10-11,10.0,0.0,3.9,1,,,,,
ENG,RJW Topley (ENG),bowl,60,43,4.0,0.066666667,0.716666667,v Bangladesh,Dharamsala,2023-10-10,10.0,1.0,4.3,2,,,,,
SA,G Coetzee (SA),bowl,60,44,4.0,0.066666667,0.733333333,v Afghanistan,Ahmedabad,2023-11-10,10.0,1.0,4.4,1,,,,,
SA,KA Maharaj (SA),bowl,54,46,4.0,0.074074074,0.851851852,v New Zealand,Pune,2023-11-01,9.0,0.0,5.11,2,,,,,
AUS,A Zampa (AUS),bowl,48,47,4.0,0.083333333,0.979166667,v Sri Lanka,Lucknow,2023-10-16,8.0,1.0,5.87,1,,,,,
SL,D Madushanka (SL),bowl,58,49,4.0,0.068965517,0.844827586,v Netherlands,Lucknow,2023-10-21,9.4,1.0,5.06,1,,,,,
SL,CAK Rajitha (SL),bowl,54,50,4.0,0.074074074,0.925925926,v Netherlands,Lucknow,2023-10-21,9.0,0.0,5.55,1,,,,,
AUS,A Zampa (AUS),bowl,60,53,4.0,0.066666667,0.883333333,v Pakistan,Bengaluru,2023-10-20,10.0,0.0,5.3,2,,,,,
ENG,CR Woakes (ENG),bowl,57,54,4.0,0.070175439,0.947368421,v Australia,Ahmedabad,2023-11-04,9.3,0.0,5.68,1,,,,,
SA,T Shamsi (SA),bowl,60,60,4.0,0.066666667,1.0,v Pakistan,Chennai,2023-10-27,10.0,0.0,6.0,1,,,,,
NED,BFW de Leede (NED),bowl,54,62,4.0,0.074074074,1.148148148,v Pakistan,Hyderabad,2023-10-06,9.0,0.0,6.88,1,,,,,
BAN,Mahedi Hasan (BAN),bowl,48,71,4.0,0.083333333,1.479166667,v England,Dharamsala,2023-10-10,8.0,0.0,8.87,1,,,,,
PAK,Hasan Ali (PAK),bowl,60,71,4.0,0.066666667,1.183333333,v Sri Lanka,Hyderabad,2023-10-10,10.0,0.0,7.1,1,,,,,
NED,LV van Beek (NED),bowl,60,74,4.0,0.066666667,1.233333333,v Australia,Delhi,2023-10-25,10.0,0.0,7.4,1,,,,,
IND,Mohammed Siraj (IND),bowl,42,16,3.0,0.071428571,0.380952381,v Sri Lanka,Wankhede,2023-11-02,7.0,2.0,2.28,2,,,,,
NZ,LH Ferguson (NZ),bowl,42,19,3.0,0.071428571,0.452380952,v Afghanistan,Chennai,2023-10-18,7.0,1.0,2.71,2,,,,,
AUS,A Zampa (AUS),bowl,60,21,3.0,0.05,0.35,v England,Ahmedabad,2023-11-04,10.0,0.0,2.1,2,,,,,
PAK,Shaheen Shah Afridi (PAK),bowl,54,23,3.0,0.055555556,0.425925926,v Bangladesh,Eden Gardens,2023-10-31,9.0,1.0,2.55,1,,,,,
BAN,Mehidy Hasan Miraz (BAN),bowl,54,25,3.0,0.055555556,0.462962963,v Afghanistan,Dharamsala,2023-10-07,9.0,3.0,2.77,1,,,,,
IND,RA Jadeja (IND),bowl,60,28,3.0,0.05,0.466666667,v Australia,Chennai,2023-10-08,10.0,2.0,2.8,1,,,,,
AFG,Mohammad Nabi (AFG),bowl,57,28,3.0,0.052631579,0.49122807,v Netherlands,Lucknow,2023-11-03,9.3,1.0,2.94,1,,,,,
BAN,Shakib Al Hasan (BAN),bowl,48,30,3.0,0.0625,0.625,v Afghanistan,Dharamsala,2023-10-07,8.0,0.0,3.75,1,,,,,
PAK,Mohammad Wasim (1) (PAK),bowl,49,31,3.0,0.06122449,0.632653061,v Bangladesh,Eden Gardens,2023-10-31,8.1,1.0,3.79,1,,,,,
SA,M Jansen (SA),bowl,48,31,3.0,0.0625,0.645833333,v New Zealand,Pune,2023-11-01,8.0,1.0,3.87,2,,,,,
IND,JJ Bumrah (IND),bowl,41,32,3.0,0.073170732,0.780487805,v England,Lucknow,2023-10-29,6.5,1.0,4.68,2,,,,,
SA,K Rabada (SA),bowl,48,33,3.0,0.0625,0.6875,v Australia,Lucknow,2023-10-12,8.0,1.0,4.12,2,,,,,
